ID,TITLE,GENRE,DESCRIPTION
303,God's Not Dead (2014),drama,"Freshman university student Josh Wheaton attends a philosophy class, where the uncompromising Professor Radisson requires all students to submit a signed statement that the ""God is dead"" and never existed. When Josh refuses due to his own Christian beliefs, the Professor challenges him to defend his position that his god, Yahweh, is real, leading to a series of confrontational presentations between himself and the professor, with the class as jury. Josh's plans to go to law school depend on not failing this class. Josh's girlfriend urges him not to throw away his future with this pointless act of defiance. At the same time, Pastor Dave and African missionary Jude attempt to leave town on a trip, but are hindered by comical accidents. Student Ayisha is at odds with her father's conservative religious principles. Businessman Mark acts cynically towards his mentally ill mother, while his journalist girlfriend receives bad news from a doctor."
304,Deool Band (2015),drama,"Dr. Raghav Shastri, Indian by origin, is NASA's youngest scientist. He returns to his motherland, only to find out that his country is full of god worshippers. However, Raghav is not one of them. He challenges the existence of god and orders the locality to shut the temple within the premises. But in a twist of fate, god himself descends and questions the atheist. Will Raghav finally believe in god?"
305,The Living (2016),thriller,"In the vein of ""Rosemary's Baby,"" ""The Living"" follows a couple recovering from a miscarriage as they start over in a new house. He doesn't tell her the previous owners were murdered, and she hides trying to get pregnant despite doctor's warnings. Their lives take a horrifying turn as they struggle with their lies."
306,"""Cassandra French's Finishing School for Boys"" (2012)",comedy,"Cassandra French is a 22-year-old overachiever who gets her dream job at a Hollywood studio but can't find a guy ready for a mature relationship. After the latest disappointment, she locks the guy up in her basement and trains him to become the perfect gentleman."
307,Les besoins de la chair (1984),adult,"Dominique Saint. Claire appears to be married to Jacky Arnal. After making love she goes for a walk and meets Christophe in the woods repairing his bike. He gives her a lift on his handlebars back to a large house, where previously we had seen an unidentifed brunette, playing Aunt Annie, giving head to an unidentified young man in a laundry room, who plays Jacques. Dominique and Christophe have sex in the garage and then go inside, where a blonde is cavorting in front of Marie-Christine Chireix, Aunt Annie, Jean-Pierre Armand and an unidentified younger male. The assembled cast have sex in various rooms of the house in various combinations, though Marie-Christine joins in only near the end. Meanwhile Jacky Arnal is wondering where his wife is and goes to look for her. by this time she has left the orgy. He finds her walking home, drives her back, and they have sex again."
308,El vicari d'Olot (1981),comedy,"In a small village in the heart of Catalonia, advantage is made of the holiday visit of an ecclesiastical authority to organize a series of talks on the subject of religion and sex in the present day. This splits the village into two warring sides, those for and those against the Congress, and it is only after a tense series of negotiations between the two sides that a consensus is reached. An array of local characters lead the story to its happy ending through a series of comical and satirical situations."
309,Dante and Minnie (2012),drama,"Dante and Minnie is the story of two young homeless people. Minnie is trying to escape life on the streets, while Dante is trying to escape the real world by retreating to the streets. They fell in love as their paths crossed, but now they struggle as they each try to push the other in the direction they are headed."
310,Tere Bin Laden Dead or Alive (2016),comedy,A common man who happens to look like Osama Bin Laden is noticed by a man from the American Government and plans to film the capture of Bin Laden. A film director (Manish Paul) helps making the Bin Laden film but their film making is encountered to many problems including the man playing Bin Laden being a complete lunatic. Will the government of the United States be able to show the world how they really caught the man himself?
311,"Rain, Rain (2009)",short,"One forgotten afternoon, a whip-smart troublemaker discovers a family secret & unleashes her imagination on her parents' perfect little house. Ginny Nallion's trapped inside by a rainy day. She goes looking for something to do, winds up nearly destroying her house, all in the name of a little fun."
312,Life's Greatest Question (1921),drama,"Moving Picture World, 19 August 1922. John Carver looked through the window of a little church in the North woods and saw the woman who had once been his own being made the wife of Julio Cumberland, the most prosperous citizen in the village. He is pursued by Private Dick Osborne, of the Royal Northwest Mounted Police, the lover of Nan's new stepdaughter, who recognizes the uninvited guest and knows Nan's story. Julio regards the conferences of his bride and Dick with jealous suspicion, and while spied upon by the criminal, attacks the officer, leaving him unconscious. Later the bride is found dead, and suspicion points to the officer as her murderer. John is captured and admits his guilt only when Dorothy prevails upon him to save the happiness of herself and the officer by confessing the crime. - Moving Picture World, 19 August 1922."
313,Untitled Grunge/Seattle Rock Documentary (????),music,"The Seattle Grunge music scene changed everything as we knew it when one fateful day Sub -Pop Records decided to begin releasing a new type of music on it's independent label. Slowly from 1989 to 1994 the entire world was changed. Politics began to get more attention, Rock The Vote came into Genx's life and influenced an entire government, socio-economical and even department store clothing lines reflected the nations need for Grunge and the Seattle Scene. But who were the people behind the bands, behind that music and the Grunge scene that took the entire world and upended it's presidents, politics, economy, attitude toward authority and disaffected youth rising up against war and bad choices made for them by their country. This is the story of how Seattle Music changed the world, and who the real influential people behind the Seattle scene are."
314,Church People (2014),short,"Hypocrisy is a funny-looking work and behavior, but as a young boy, David (Dylan Rowen), learns, it's not a laughing matter. Sunday morning begins as usual for David and his family as they prepare for church. However, when something out of the ordinary catches his attention, his perspective will be changed for the rest of his life."
315,A Reel Man (2005),documentary,"""A Reel Man"" is a profile of Skip Elsheimer, a Raleigh, North Carolina resident who collects educational films. Skip started collecting these 16mm films many years ago, and he now has almost 17,000, crammed into almost every room in his house. His archive - one of the biggest of its kind in the United States - includes films from the 1940s, '50s, '60s, '70s and '80s on every conceivable instructional topic - sex education, personal hygiene, public safety, driver's ed, occupational training, the dangers of drugs and alcohol, religion, patriotism, how to be popular, etc. I was attracted to Skip because I find compelling his genuine affection for these ""orphan"" films, his obsession for collecting, categorizing and preserving them, and his passion for sharing them with the public at his A/V Geeks shows. The films in Skip's archive are campy, amusing and not a little propagandistic, but they're also valuable, fascinating time capsules that reflect America's social attitudes and cultural values throughout the last half-century."
316,Terug naar de kust (2009),thriller,"Single mother Maria starts to receive anonymous death threats. Together with her children, she flees to her former parental home, where her older sister Ans now lives. During those cold winter days in the secluded seaside house she is confronted with her traumatic childhood memories. But as the people close to her begin to question her state of mind, her assailant closes in."
317,Ford Models New Faces with Jack Page/Julia Covert (2016),short,"A promotional short film showcasing two potential young models from Ford Models. The tall, dark, and handsome Jack Page and the beautiful statuesque Julia Covert. Both of whom give their own glamour shots for this short film. Both of them have a possible chance at making it big in modeling and fashion."
318,Ft. Knox & the USS Washington (2002),documentary,"The USS Washington is a nuclear carrier the length of four football fields that holds 5,000 personnel. Discover how its mission of defense has changed since the events of 9/11. At Ft. Knox, see the vault that holds $3 trillion dollars of pure gold."
319,Bacterium (2006),horror,"When a handful of friends stumble upon the abandoned building, they come face to face with a biological weapons experiment gone catastrophically wrong. They also confront a maniacal scientist who predicts life on Earth will end in 48 hours if the accelerated bacterial mutation cannot be halted. As the virulent, flesh-hungry contagion spreads from person to person, rendering each host into a pile of infectious ooze, it begins to multiply and increase in size. A covert military force sent in to contain the spread and destroy the organism discovers the extent of the slithering mutation, but by then it's far too late for conventional tactics. Extreme measures are required if anyone is left standing in one solid piece to do battle."
320,"""The Gift"" (1997)",family,The Gift is passed on from one person to the next and this series is just based on the funny and ridiculous things that happen to Henry and Ralf because of it. Enzo and Leo have to follow the gift and do whatever the person with the gift tells them to do. When the gift carrier discovers the gifts true potential they have to pass it on to someone else.
321,"""The Listen Project"" (2010)",documentary,"The LISTEN Project records music and storytelling in it's most purest and natural form. Imagine a time capsule being opened 1000 years from now. The LISTEN Project will create a library of sounds and visuals that will stand the test of time, and show those future historians the soul of our collective culture."
322,Momentum: Diplo (2015),short,"Superstar DJ Thomas Wesley Pentz makes 300 appearances a year in the guise of Diplo or Major Lazer. The 33-year-old American is also in demand as a music producer. As an artist highly regarded by everyone from Beyoncé to Chris Brown, he sums up his crazy output by saying, 'I always have to make stuff'. Diplo is currently on a tour to Rio de Janeiro, where his meteoric career began. He shows us around his world, in the limelight and behind the scenes."
323,Eddie: Strongman (2015),documentary,"Truck mechanic, husband and father of two, Eddie Hall wants to be the World's Strongest Man. This feature documentary vividly illustrates the sacrifices that this extremely driven man must make to chase his dream. He will stop at nothing. He trains, eats, sleeps and breathes strongman, competing all over the world and breaking records. He faces not only gargantuan competitors, but his own inner demons as he strives to leave behind the scars of his teenage years. This film gets under the skin of a man totally dedicated to becoming the greatest and offers an engrossing snapshot of an unforgettable character, Eddie - Strongman."
324,Candid Sex (2004),drama,"Kayla and Alexis cohost a TV talk show called ""The Naked Truth"". They sit in front of the camera in lingerie while viewers call in and share their erotic adventures (which are illustrated with softcore clips). When Kayla catches Alexis with her current crush (the show's producer) before the show begins, she gets upset and decides to stir the pot by changing the theme of that nights show to infidelity, and by having sex with other cast and crew members during the shooting breaks and after the show."
325,"""Beef Baloney"" (2003)",comedy,"Beef Baloney is a comedy variety show for the Midwest United States. The artsy format is very edgy as its demographic is very broad. This show maintains its fun, high-energy, fast cut style and absurd content for the entire half hour. Beef Baloney is in and out before you know it, leaving its audience thirsting the next episode."
326,Underground Poets Railroad (2003),documentary,"""Underground Poets Railroad"" is equal parts concert film of performances at universities, churches, fire stations and national monuments across the country; road trip documentary; and, ultimately, a tribute to the 12 black firefighters who gave their lives on September 11. Six of the nations brightest spoken word artists came together in New Orleans on September 2, to begin a life transforming journey to New York City for the memorial anniversary of September 11."
327,Aarekti Premer Golpo (2010),drama,"The movie is about a Delhi base trans gender documentary filmmaker Abhiroop Sen and his bisexual lover cinematographer. They wanted to make a documentary on the life of famous ""Jatra"" actor ""Chapal Bhaduri"" But doing so Sen recognized that his life resemble Chapal's life. The movie revolves around the trauma, the pressure,the setbacks, heartache and several situations faced by trans gender."
328,Angelos Epithemiou and Friends (2011),comedy,"HELLO EVERYBODY. Now then as some of you might know, I was made to go off round the country this year and do a show to loads of people. I went everywhere, up north, down south and I even had to go to Scotland. If I'd have had my way I wouldn't have gone, I'd have stayed at home with my feet up watching Dragons Den with a box of Magnums. So in the end what happened was, I got to this one place in Digbeth, and they've got a load of video cameras there and they say right we're gonna film this. So they did and this is what you've got, the video of it, so have a look at it and see what you think."
329,Two Stories Up (2011),short,"While going about his daily routine, Jason, a socially awkward man, accidentally learns that he can get the attention of the neighborhood by dropping things from his apartment window. When Natalie, the delivery girl for Tons O' Stuff, takes notice, a friendship begins to form two stories up that challenges them to see each other as more then just their appearances."
330,"""Just a Few Drinks"" (2014)",biography,"Four young people tell how an evening of drinking alcohol led to a sequence of events that changed their lives. At the time, they all set out just wanting to have a good time, but after their experience with alcohol their attitude to drinking has changed significantly. The science of how alcohol affects the body is explored through four real life stories, highlighting how behaviour can change dramatically as a result of drinking."
331,Cutback (2010),drama,"High School senior Luke Harris (Justin Schwan) dreams of just one thing... pro surfing. With his best friend Casey (Angel Cruz) at his side, they have two goals: surf and party! But Luke's Mom (Raquel Gardner) and especially Dad (Greg Carlson) have other ideas: pick a college and grow up! When Luke learns that a spot is opening up on the local surf team, he see's his big chance to prove to his parents that he can make it as a surfer and avoid being shipped off to school. Only two things stand in Luke's way: new-surfer-in-town Matt (Andy Shephard) who has his own eyes set on the surf team opening, and his Dad, who insists he give up his surfing dreams and get an education. When a devastating tragedy strikes, Luke is forced to take a hard look at his life and with the help of beautiful ""church-girl"" Emily (Kelsey Sanders) and his Youth Pastor (Danny Smith), he learns that there's much more to life than riding waves."
332,Moksh Marg: The Road to Wisdom (2016),documentary,"India is synonymous to wisdom but all of it is in its glorious past, not the present. A visit to the 'Moksha-Points of the World' in Bihar which has Nalanda (ruins of the World's greatest International University of Spirituality), Bodh-Gaya (the place where Gautam Buddha received his enlightenment under the Boodhi tree), Pawapuri (the place where Lord Mahavir, the founder of the non-violent Jains, gave his last sermon and left his mortal body), Rajgir (that place of the Mahabharat times where God's Avatar Krishna came to release all the kings of the world being imprisoned by Emperor Jarasandh and gave them enlightenment to lead a life dedicated to humanity as a ruler) and the ancient 'soul-enlightenment' places of Indian traditional-culture: Gaya, where there is a foot-mark of the restorer of world, the Almighty God Vishnu: the place where souls after leaving their mortal bodies gets entry to the abodes of peace by their blood-relatives (pind-daan)."
333,The Leviathan (2015),short,"'The Leviathan' serves as a parable of the inner-struggle of identity between the conscious and the unconscious-self lurking within the fathomless of depths of the abyss of the sea of the subconscious. Hidden, powerful yet ever present this deep dark presence churns the salty brine of our deepest and darkest thoughts; rippling unbidden to the glassy surface of the waking mind. Juxtaposed with monochromatic garments, and set against the unforgiving landscape of Melbourne's Black Rock Beach, this visually moody tale plays out the silent war between the inner-self."
334,The Viking Maid (2008),documentary,"Despite record salmon runs in the state of Alaska, wild Salmon fishermen struggle to stay afloat in the flooded salmon markets of the world. This documentary is a journey aboard an Alaskan salmon seining vessel, exploring the lifestyle and adventure of a dying breed of men, the last of hunters and gatherers who dare to take on mother nature to earn a living. Journey aboard the Viking Maid, atop the erratic seas of Southeast Alaska, and find out why you should always ask, ""is this salmon farmed or wild?"""
335,The American Film Institute Presents a Salute to William Wyler (1976),documentary,"In 1976, William Wyler became the fourth recipient of the American Film Institute's Lifetime Achievement Award, following John Ford, James Cagney and Orson Welles. The winner of three Best Director Academy Awards (and a record twelve nominations), Wyler has directed more Oscar-winning performances than any other director: Walter Brennan (twice), Bette Davis, Fay Bainter, Greer Garson, Teresa Wright, Fredric March, Harold Russell, Olivia de Havilland, Audrey Hepburn, Burl Ives, Charlton Heston, Hugh Griffith and Barbra Streisand. Among the film luminaries who pay tribute to Wyler are Audrey Hepburn, Gregory Peck, Myrna Loy, Henry Fonda, James Stewart, Barbra Streisand, Charlton Heston, Eddie Albert, Merle Oberon, Walter Pidgeon, Greer Garson and Harold Russell. Film clips include: ""The Best Years of Our Lives,"" ""Roman Holiday,"" ""Ben-Hur,"" ""Mrs. Miniver,"" ""Funny Girl,"" ""Wuthering Heights,"" and ""The Heiress."" Conspicously absent from the tribute is Bette Davis (""Jezebel,"" ""The Letter,"" ""The Little Foxes""), perhaps Wyler's greatest success."
336,T.V.: The Movie (2008),comedy,"To save their home from foreclosure, two TV producers (Oscar and Brett) bet on races, plan a robbery, and consult with the mob. Framed through a behind the scenes look at community television, eight film school grads, a small time mob boss, and a full-time Muppet desperately try to save their home and their way of life by making ""TV: the Movie"". Fusing documentary footage with fictional scenes, ""TV: the Movie"" invites its viewers on a deconstructive journey through reality and illusion."
337,"""Kirstie Alley's Big Life"" (2010)",reality-tv,"Kirstie Alley leads a pretty interesting life. She was a Romulan-Vulcan officer in ""Star Trek II,"" a sexy Emmy-winner as Rebecca Howe in ""Cheers,"" the star of blockbuster films ""Look Who's Talking"" and ""Drop Dead Gorgeous"" and of course, her star turns in ""Veronica's Closet"" and ""Fat Actress."" For three decades Kirstie has been making headlines and staying in the forefront of the American conscience. Now, she's granting her fans unprecedented access inside her life...and what a life it is."
338,Chestnut Records (2013),comedy,"Chestnut Records was sitting pretty when 2012 rolled around. Their main artist - Danny Alamo - was fresh from the Betty Ford Clinic and ready to begin his sold-out national tour, ""Danny From The Rock"". However, during sound check on the opening night of the tour in Sydney, he disappeared. It would be 6 weeks before he re-emerged back at the label office's front doors, just as drug and alcohol-affected as before. As a result, the label suffered heavily, both financially and reputably with some of their signed artists moving on to other labels. As Danny was now indisputably unemployable, along with the fact he was the only remaining successful and well-known artist signed with Chestnut, it was decided that he would be kept on and given a second chance, a decision which could breathe new life into the label, or completely destroy it forever. The Chestnut Records Series details the day-to-day happenings of the various characters which make up the label, their relationships, their conflicts, their unified goal of making Chestnut the label it needs to be, and making Danny the artist he needs to be. Chestnut Records is set in Sydney, Australia."
339,Vying for Perfection (2011),drama,"Living in the superficial world humans have created for themselves, five particularly vain city women, struggle daily trying to find perfection. After searching for perfection, each woman runs into a large life altering road block, and a consequential decision needs to be made. We follow their journey's as we learn that sometimes creating the perfect life means creating the perfect lie."
340,Devil Within (2016),thriller,"David Hayes, dealing with a tragic loss, moves with his wife Lucy to help them be a family once again and let go of the past. They soon find that the pain of the past cannot be so easily forgotten as darkness can rise from anyone, anywhere, or anything."
341,No Man's Land (2018),horror,"Fates collide in this gritty supernatural horror film set in the wild west. In the Cimarron Territory, violence and vice reign supreme. It may be no place for a woman on her own, but bounty hunter Ree Cutter was raised on dust and bullets. When the youngest son of the notorious Kilburn Clan earns a price on his head, Cutter hunts him down to drag him to justice. But a vicious predator descends on her isolated ranch, leaving little hope for escape. Unable to trust anyone as far as she can spit, Cutter must find a way to work with ""The Butcher"" in order to survive the night."
342,The Turing Enigma (2011),thriller,A missing message from rogue mathematician Alan Turing surfaces as part of the celebrations for his 100th birthday... in code it provides the key to a century old puzzle that if solved will bestow academic immortality - and crash the world into chaos.
343,Wasteland Wars (2017),adventure,"Guide our hero, Brimstone - in an epic quest across the Wasteland in search of rogue Weepers! Avoid impending doom on your journey as you drive Brim throughout the deepest, darkest route Hell has to offer! Control the ""Main Man from the Wasteland"" in an all out firefight against demons, creatures and competing Borderhound units straight from the hit comic book, ""Brimstone and The Borderhounds."""
344,With Intent (1997),comedy,"A sly look at the performance poetry slam With Intent based at The Marquee Café in Soho. With its irreverent performances and Mad Hatter's tea party pieces of free jazz, beat poetry, comedy and performance art this film casts a light on a regular night of the underground performance circuit in London."
345,Brushing Teeth in Undies: The Best of Liv Films (2008),comedy,"Millions of Internet fans have already discovered Liv Films' hilarious brand of sketch comedy, in which everything from Fad Diets to Sex Tapes to Gay Marriage are given a uniquely irreverent, twist. 27 sketches, including ""uncensored"" bonus footage, new, never-before-seen material, The Best of Liv Films promises to take comedy to new highs... and lows. This DVD will have you laughing your ass off!"
346,Shoot the Freak (2012),short,"Through the Freak's musings, this film chronicles the last days of the iconic and abrasive Coney Island attraction Shoot the Freak. Remaining in masked anonymity, the nihilistic teen indulges in drug-induced daydreams of violence and oceanic abandon. Weaving the fictional with the documentary and the actual with the virtual, Shoot the Freak is a timely, unsentimental memorialisation of a bygone era. Through the Freak's musings, this film chronicles the last days of the iconic and abrasive Coney Island attraction Shoot the Freak. Remaining in masked anonymity, the nihilistic teen indulges in drug-induced daydreams of violence and oceanic abandon."
347,Filmic Achievement (2005),comedy,"A ""This is Spinal Tap"" for the world of film schools, this mockumentary follows the careers of 7 film school students from their first day of film class at UNY (whose graduates work ""here to Kentucky."")until one is chosen as the winner of the school's Filmic Achievement Award. We meet Delvo Christian, who desperately wishes hew were French and has 400.000 feet of undeveloped film 'gestating"" in grocery bags in his apartment. In his mother's basement we meet Mike Pack who worships Quentin Tarantino but whose mother may be the real director in the family. Those are just 2 of the students overseen by by faculty like Buck Felty, who becomes a little too excited by his students' film pitches, and Selway Cascade who insists that she left her ego back in her apartment and who listens to student input because, well, she is obligated to. The stereotypes are drawn broadly and the situations are absurd yet the characters and script are [frighteningly] believable. WORLD PREMIERE 29th Annual Cleveland International Film Festival."
348,"""Walk in My Shoez"" (2015)",talk-show,"""Walk in my Shoez' is a student-run University panel show which highlights social justice issues relevant to the youths of Australia. The series focuses on a variety of organisations and individuals who focus their work on positive projects and initiatives, particularly located in Victoria that help disadvantaged youths become a part of the community."
349,Making Oobleck (2016),comedy,"Whitney loves making slime! So, it's time to see what ""oobleck"" is all about. Combining cornstarch with water is all you need to make oobleck, and some food coloring is you feel like getting crazy. Seems there is a primal need to punch the stuff."
350,Solitude (2001/II),short,"Solitude is the story of Marguerite, a middle-age widow, who is overcome by despair and loneliness as the Holidays grow near. Marie, a youthful double, suddenly appears in her life and provides a whole new meaning to her solitary existence..."
351,Anthropophobia (2008),short,"Jim is a notoriously anti-social suburban teenager. When he ventures out on a lone walk down to a local creek, Jim drops his watch in the filth-ridden water. After arachnophobia prevents him from retrieving his watch, Jim finds himself reluctantly and awkwardly interacting with another person to get it back. At home, Jim prepares for a couple hours alone with his parents out of the house- closing the window shades and heating up some microwaveable soup. After some mysterious phone calls from seemingly malicious strangers, Jim has a fear-induced panic attack and begins to drift away from reality. When Jim lets loose his fear, he severs all connection with the outside world and secures his own unfortunate fate."
352,Owens Corning: A History (2013),documentary,"Owens Corning began as a research operation of Owens Illinois and Corning Glass. The companies were seeking new glass products in order to bolster sagging sales during prohibition and the Great Depression. R. Games Slayter helped discover fiberglass. Fiberglass would revolutionize the building industry, energy conservation and transportation."
353,Broken (2011/IV),drama,"When Adam is 8, he gets hit by a car, suffers brain trauma, one arm and leg will always be weaker than the other and he has a pronounced limp. During this time his parents get divorced and he grows up with his mother, Karen. Now Adam is 17, a senior and attending a new school. Jackie, a pretty girl, is nice to him and some of the popular kids, Ethan, follow her lead and treat Adam pretty well. Their old friend JA=ames, however, stirs up trouble. James continually picks on Adam, and the two keep getting into trouble at school for fighting. One day a speech competition is announced. Adam wins it, does his speech but gets into another fight with James and the two get expelled. Adam plummets in depression but writes a book and gets it published. Years later his book is this story."
354,Jeannie (1998),adult,"Jeannie the devoted genie wants her master Tony to work less and relax more but her idea to transport him to a holiday location only gets them both into trouble. Then her sister Carmen decides she wants Tony for herself and make him her slave. So Jeannie turns to advice from her teacher, Rator."
355,Talking to the Trees (2012),drama,"Mia, a successful Paris-based photographer, bored by her comfortable, Middle-class existence, flies to Cambodia to surprise her businessman husband, Xavier, with plans of convincing him to start the family with her that she has always wanted. But her hope for a romantic rendezvous is dashed when she spies her husband in a brothel having sex with an eleven year-old girl named Srey. Mia, her world turned completely upside down, resolves to rescue Srey and return her to the remote village from where she was abducted. Mia strikes a repulsive bargain with Sanan, the brothel owner, and sacrifices her own body to a high-powered government official in order to liberate the little girl. She and Srey then embark on the long journey home. However, Mia discovers that Srey has stowed away Daa and Malin, two other young escapees from the brothel. They had also stolen money from Sanan and Mia realizes that they, too, will be hunted down. Torn by the sudden additional responsibility, Mia reluctantly agrees to help all three children return to their separate villages spread across the Cambodian jungle. Under constant threat from their pursuers, Mia and the girls embark on a perilous escape to freedom and, along the way, are reminded that there is still much to celebrate in life."
356,"""Babyfather"" (2001)",drama,"Four black men living in London experience the impact of infidelity and unplanned pregnancies in their lives in different ways. Gus is a successful manager of his family's jeweler and is seeing a black single mother but is tempted by a light skin dancing teacher. Linvall is a photographer who is seeing the white daughter of a washed up rock star while helping out his friend with her son. Beres is happily married with a young daughter, but the cracks begin to show. Johnny meanwhile has a wife and a daughter, but has another girlfriend - both are pregnant. The fallout and the secrets in each man's life gradually come to the boil."
357,Sa.TX (2013),drama,"SA.TX follows the journey of three denizens of the music venue the White Rabbit, as they intersect with their friends, loved ones and sometimes enemies. The characters are forced to decide whether or not the lives they've been living are the ones they want."
358,"""Here Comes the Neighbourhood"" (2005)",documentary,Here Comes the Neighbourhood is a light and bright insider's look at multicultural Australia. It's a series about the lives of ordinary ethnic Australian's who enjoy living in a country that allows them the freedom to celebrate their cultural heritage while forging a new life in this wide open land.
359,Amy Winehouse: Girl Done Good: A Documentary Review (2008),documentary,"Amy Winehouse: The Girl Done Good is a review of her music and career to date. Drawing on rare and classic performances, exclusive interviews, lengthy contributions from friends, colleagues, journalists and experts, and a host of other features, this film is a unique insight into the music, career and life of a cultural icon. In an age when Z-list celebrities garner more media attention than the truly gifted, Amy Winehouse is an anomaly - a woman of such extraordinary flair it beggars belief and a dream for the tabloids, all rolled into one. So while many of her chart-topping contemporaries build here-today-gone-tomorrow 'careers' of little substance, Amy's appeal is genuine, based on talent with a capital T."
360,Cinq tulipes rouges (1949),crime,"During the Tour de France, five champions, all wearing the yellow jersey, are assassinated. Each time , the murderer leaves a red tulip close to the victim as a signature. Police inspector Ricoul and die hard female sports writer Colonelle will join efforts to unmask the culprit."
361,Taken from Me: The Tiffany Rubin Story (2011),drama,This fact-based Lifetime drama follows one mother's (Tiffany Rubin played by Taraji P. Henson) nightmarish struggle to retrieve the 7-year-old son (Kobe played by Drew Davis) her ex-husband whisked out of her life when he abducted the boy and took him back to his native South Korea.
362,Hit (2011/II),drama,"Baji is a top notch underground fighting director. He knows how to lead and design underground fighting games. Mr. Jang, the owner of the fighting place tempts Baji to pay back his debt in one swoop. To resolve the crisis, Baji makes James, an obnoxious rich guy, bet on the game. Baji gathers his teammates to assist and design the game. The betting designer,tactician, judge, tout, receptionist, fake player etc, the team has finally been composed. Even Baji's ex, Sunnoey, who is one of fighters, shows up to help him and the game has been going well. But when 2 games out of 10 are left, sneaky Mr. Jang and James call Baji and make him fix the games only for them."
363,The Businessman (????),crime,"They come from everywhere, eyes on the prize, wanting the biggest slice of the American pie... It's 1991 when 20-something BORIS, a refugee from the recently collapsed Soviet Union, arrives with his parents in New York City. He is exactly like every other immigrant - wide-eyed, in culture shock, and overwhelmed by the heady mix of opportunity and obstacle. But even a miserable start in the projects can't stop his ambitious, resourceful young mind. Forging a team with fellow USSR homies ALEX, MARK and GARIK, together they embark on Boris' first scheme: gambling tables on the boardwalk in Brighton Beach, Brooklyn, heart of the Russian community. His successful but short-lived ""business venture"" is soon busted by the FBI, by SPECIAL AGENT ROBERT LUTSENKO, a first-generation Russian-American. But not before attracting the attention of AGRON, Russian Godfather of Brighton Beach, who offers Boris his protective services. ""Consider it a sort of... insurance,"" he advises. Headstrong, Boris and his cohorts resolve to go their own way. When Boris hatches an even more lucrative idea, it seems that the American dream has finally materialized. But soon after, mysterious and sinister events ensue: beatings, arson, explosions... Boris quickly realizes the brutal truth of Brighton Beach - if not the entire world - that you can't survive without the right allies. So he compromises both his profit margin and his principles and strikes a deal with the Russian mob. Although his high-tech scam takes off like a Sputnik rocket, jealousy (aka MARAT and his thug OLEG) threatens to bring it crashing down. Ever resourceful, Boris finds the solution to his problem in the sorrows of Agent Lutsenko, whose young son has a terminal illness requiring expensive foreign treatment. Boris has the money, Robert the inside information, so the two form a devil's bargain that leads to the destruction of Boris' rivals. From immigrant wunderkind to the Don of Brighton Beach, with all the perks, the dangers, and the responsibilities, Boris has made a speedy transformation. He marries the gorgeous gold- digger RACHEL and travels the world in search of the next, new 'naches'. But in the end, what equals success? What does Boris really have? Junkie friends, a bitch of a wife, snobbish in-laws who despise his roots. But for certain men of business, there is no cure. No matter how many candles they light in church, there is no forgiveness... and it is up to Boris to draw the line. But will he? And what if it is already too late?"
364,"Sex, Drugs, and Stu (2010)",comedy,"Stu and Rupert like to get high and go to the gym to watch the ladies. But Stu's stoner existence is interrupted when he loses his job and is evicted from his apartment by his Irish mobster landlord. A sexy woman at the gym overhears his problem and takes him in, only he must be 'totally hers'. When Stu discovers she's a cop, things start to get complicated. To make matters worse, Crazy Daisy shows up pregnant with twins claiming he's the daddy. Stu needs all the help he can get from his friends, and an oddball shrink, to set things back in order."
365,Anal Mansion Secrets (2014),adult,"Welcome to Anal Mansion, where the key to uncovering the secrets of the wealthy Haversham family lies in the hands and the loins of a most determined and well hung investigator. A convenient ""accident"" leaves a household of suspects who each seem to hold a dirty secret."
366,"""Lost in the Game"" (2016)",adventure,"A group of teenagers receive mysterious invitations to attend a summer camp. At first glance it appears to be a regular survival camp where the kids take on various physical challenges, but one by one some of the children are secretly taken to a hidden part of the camp. While the others think they've been sent home, the chosen few are introduced to an incredible virtual reality game where they face new challenges in the Middle Ages. Before long, those left behind begin to get suspicious, wondering what's really happened to their friends and why the camp staff are so secretive about the strange man living in the mansion in the woods."
367,Hoodoo for Voodoo (2006),horror,"When a group of college kids win a trip to New Orleans for Mardi Gras, they soon find themselves on a rollercoaster of survival as bodies drop left and right. When the workers at a local VooDoo tourist attraction begin turning up dead, the teens must bind together and stay alive to figure out who is behind this most wicked plot. But, hey, who can be inconvenienced at the biggest party of the year?"
368,"""World's Worst Tenants"" (2012)",reality-tv,This reality was about tenants that were either being evicted for non payment and or violating their lease. Now there were some episodes were people had been living on properties that they probably shouldn't have per legal provisions. Also there was a run of episodes were folk had pets of all kinds and either they complied with the pet policy of their lease or they were given a notice to vacate.
369,Noemie Lafrance: Noir - Site Specific Choreography (2004),documentary,"Lafrance first achieved major recognition in 2002 with ""Descent"" which was staged in the stairwell of a New York City landmark, the Clocktower Building by McKim, Mead and White. With ""Noir"" she takes her audience to a Lower East Side parking garage, for a dance experience based on ""film noir"" of the 1940's. The audience witnesses her choreography through the windshields of the parked cars."
370,It'll Happen (2007),romance,"It'll Happen Brent Marshall is a good-looking college professor, and Sarah Palmer is an attractive writer for a local magazine. In an attempt to find meaningful romantic relationships, they test the dating scene in Monterey. Unfortunately for them, they each encounter a hilarious series of disastrous dates, making them wonder if the search is worth the effort."
